id,user_id,client_id,communication_failed,status_text,store_id,store_order_id,service_method,business_date,advance_order_time,net_amount,tax_amount,tax1_amount,tax2_amount,payment_amount,message,order_text,order_progress,can_place_order,delivery_instructions,payment_type,credit_card_approval_number,fiscal_number,fiscal_type,company_name,discount,discount_auth_id,completed,created_at,updated_at,message_mask,reason_id,complete_on,placed_at,exonerated,started_on,exoneration_authorizer,creditcard_number,fiscal_company_name
2462,1,1,false,,16,2012-07-03#118918,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,,,,,,,,,,true,2012-10-06 19:35:16 -0400,2012-10-06 19:37:04 -0400,2,,2012-10-06 19:37:46 -0400,,,2012-10-06 19:36:58 -0400,,,
2460,1,1,false,,16,2012-07-03#118916,carryout,,,158.73,41.27,15.87,25.4,200.0,,,,,,,,,,,,,true,2012-10-06 18:08:15 -0400,2012-10-06 18:12:39 -0400,1,,2012-10-06 19:14:30 -0400,,,2012-10-06 18:12:29 -0400,,,
2518,1,21,false,,24,2012-10-18#39,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-18 14:12:22 -0400,2012-10-18 14:13:11 -0400,1,,2012-10-18 14:13:37 -0400,,,2012-10-18 14:13:06 -0400,,,
2527,1,8,false,,24,2012-10-18#51,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,true,,CashPayment,,,,,,,true,2012-10-20 11:00:32 -0400,2012-10-20 11:06:12 -0400,1,,2012-10-20 11:06:33 -0400,,,2012-10-20 11:06:04 -0400,,,
2503,1,8,false,,24,2012-10-10#18,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-17 20:10:28 -0400,2012-10-17 20:14:53 -0400,1,,2012-10-17 20:15:26 -0400,,,2012-10-17 20:14:48 -0400,,,
2525,1,21,false,,24,2012-10-18#49,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,true,,CreditCardPayment,989898,00987788776,3rdParty,,,,true,2012-10-20 10:39:15 -0400,2012-10-20 10:43:15 -0400,1,,2012-10-20 10:45:17 -0400,,,2012-10-20 10:43:10 -0400,,9898,
2476,1,21,false,,24,2012-09-13#2,dinein,,,373.02,96.98,37.29,59.69,470.0,,,,true,,,,,,,,,true,2012-10-06 20:52:41 -0400,2012-10-10 18:26:39 -0400,1,,2012-10-10 18:27:43 -0400,,,2012-10-07 08:28:19 -0400,,,
2485,1,27,false,,24,2012-10-10#10,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-10 19:22:56 -0400,2012-10-10 19:24:42 -0400,1,,2012-10-10 19:24:59 -0400,,,2012-10-10 19:24:36 -0400,,,
2523,1,101,false,,24,2012-10-18#47,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-20 10:02:33 -0400,2012-10-20 10:06:16 -0400,1,,2012-10-20 10:06:48 -0400,,,2012-10-20 10:06:08 -0400,,,
2521,1,21,false,,24,2012-10-18#42,pickup,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-18 14:18:01 -0400,2012-10-18 14:20:21 -0400,1,,2012-10-18 14:20:43 -0400,,,2012-10-18 14:20:16 -0400,,,
2510,1,21,true,,24,2012-10-18#30,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-18 00:01:29 -0400,2012-10-18 13:33:18 -0400,9,,2012-10-18 13:33:44 -0400,,,2012-10-18 13:32:57 -0400,,,
2512,1,8,false,,24,2012-10-18#29,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-18 13:20:50 -0400,2012-10-18 13:25:50 -0400,1,,2012-10-18 13:31:20 -0400,,,2012-10-18 13:25:43 -0400,,,
2511,1,8,false,,24,2012-10-18#25,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-18 13:20:13 -0400,2012-10-18 13:20:27 -0400,1,,2012-10-18 13:20:50 -0400,,,2012-10-18 13:20:21 -0400,,,
2528,1,8,false,,24,2012-10-18#52,dinein,,,305.55,79.45,30.55,48.9,385.0,,,,true,,CashPayment,,,,,100.0,2,true,2012-10-20 11:06:33 -0400,2012-10-20 11:50:45 -0400,1,,2012-10-20 11:50:53 -0400,,true,2012-10-20 11:16:54 -0400,2,,
2534,1,8,false,,24,2012-10-18#58,pickup,,,206.35,53.65,20.63,33.02,260.0,,,,true,,CashPayment,,,,,0.0,,true,2012-10-20 12:21:17 -0400,2012-10-20 21:39:57 -0400,1,,2012-10-20 23:28:11 -0400,,false,2012-10-20 12:23:07 -0400,,,
2513,1,101,true,,24,2012-10-18#46,dinein,,,476.19,123.81,47.62,76.19,600.0,,,,true,,,,,,,,,true,2012-10-18 13:31:20 -0400,2012-10-20 09:59:33 -0400,9,,2012-10-20 10:02:33 -0400,,,2012-10-20 09:48:53 -0400,,,
2458,1,1,false,,16,2012-07-03#118914,pickup,,,158.73,41.27,15.87,25.4,200.0,,,,,,,,,,,,,true,2012-10-06 13:54:47 -0400,2012-10-06 13:55:08 -0400,2,,2012-10-06 15:45:37 -0400,,,2012-10-06 13:55:02 -0400,,,
2466,1,1,false,,16,2012-07-03#118922,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,,,,,,,,,,true,2012-10-06 19:44:30 -0400,2012-10-06 19:47:19 -0400,1,,2012-10-06 19:47:58 -0400,,,2012-10-06 19:47:08 -0400,,,
2533,1,21,false,,24,2012-10-18#57,delivery,,,125.98,32.75,12.59,20.16,158.73,,,,true,,CreditCardPayment,878787,00113574339,3rdParty,,10.0,2,true,2012-10-20 12:07:56 -0400,2012-10-20 12:21:06 -0400,1,,2012-10-20 12:21:17 -0400,,true,2012-10-20 12:19:00 -0400,2,9898,RADHAMES BRITO MELO
2484,1,29,false,,24,2012-10-10#9,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-10 19:21:04 -0400,2012-10-10 19:22:21 -0400,1,,2012-10-10 19:22:56 -0400,,,2012-10-10 19:22:14 -0400,,,
2482,1,8,false,,24,2012-10-10#7,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-10 19:17:02 -0400,2012-10-10 19:17:49 -0400,1,,2012-10-10 19:18:13 -0400,,,2012-10-10 19:17:44 -0400,,,
2502,1,21,false,,24,2012-10-10#17,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-17 20:01:55 -0400,2012-10-17 20:07:30 -0400,1,,2012-10-17 20:10:28 -0400,,,2012-10-17 20:05:48 -0400,,,
2487,1,15,false,,24,2012-10-10#13,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-10 19:33:52 -0400,2012-10-10 19:37:12 -0400,1,,2012-10-10 19:40:47 -0400,,,2012-10-10 19:36:53 -0400,,,
2464,1,1,false,,16,2012-07-03#118920,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,,,,,,,,,,true,2012-10-06 19:41:42 -0400,2012-10-06 19:42:08 -0400,1,,2012-10-06 19:42:51 -0400,,,2012-10-06 19:41:53 -0400,,,
2529,1,8,true,,24,2012-10-18#53,dinein,,,285.71,74.29,28.57,45.72,360.0,,,,true,,CashPayment,,,,,0.0,,true,2012-10-20 11:50:53 -0400,2012-10-20 12:03:46 -0400,9,,2012-10-20 12:04:30 -0400,,false,2012-10-20 12:01:57 -0400,,,
2508,1,21,false,,24,2012-10-10#23,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-17 23:59:18 -0400,2012-10-17 23:59:35 -0400,1,,2012-10-17 23:59:52 -0400,,,2012-10-17 23:59:29 -0400,,,
2530,1,8,false,,24,2012-10-18#54,pickup,,,158.73,41.27,15.87,25.4,200.0,,,,true,,CashPayment,,,,,0.0,,true,2012-10-20 12:04:30 -0400,2012-10-20 12:05:21 -0400,1,,2012-10-20 12:05:31 -0400,,true,2012-10-20 12:04:58 -0400,2,,
2480,1,8,false,,24,2012-10-10#5,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-10 19:06:22 -0400,2012-10-10 19:09:18 -0400,1,,2012-10-10 19:15:35 -0400,,,2012-10-10 19:09:13 -0400,,,
2507,1,21,false,,24,2012-10-10#22,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-17 20:55:21 -0400,2012-10-17 20:57:41 -0400,1,,2012-10-17 23:59:18 -0400,,,2012-10-17 20:57:36 -0400,,,
2459,1,1,false,,16,2012-07-03#118915,pickup,,,154.76,40.24,15.48,24.76,195.0,,,,,,,,,,,,,true,2012-10-06 15:45:45 -0400,2012-10-06 15:55:10 -0400,2,,2012-10-06 16:00:35 -0400,,,2012-10-06 15:55:00 -0400,,,
2472,1,29,false,,16,2012-07-03#118928,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,,,,,,,,,,true,2012-10-06 20:01:20 -0400,2012-10-06 20:26:01 -0400,1,,2012-10-06 20:27:06 -0400,,,2012-10-06 20:25:48 -0400,,,
2486,1,68,false,,24,2012-10-10#11,dinein,,,,,,,,,,,,,,,,,,,,true,2012-10-10 19:25:00 -0400,2012-10-10 19:33:37 -0400,1,,2012-10-10 19:33:51 -0400,,,2012-10-10 19:33:30 -0400,,,
2506,1,8,false,,24,2012-10-10#21,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-17 20:48:15 -0400,2012-10-17 20:53:51 -0400,1,,2012-10-17 20:55:20 -0400,,,2012-10-17 20:53:44 -0400,,,
2509,1,21,false,,24,2012-10-10#24,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-17 23:59:52 -0400,2012-10-18 00:01:04 -0400,1,,2012-10-18 00:01:28 -0400,,,2012-10-18 00:00:38 -0400,,,
2479,1,8,false,,24,2012-10-10#4,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-10 18:39:13 -0400,2012-10-10 19:06:03 -0400,1,,2012-10-10 19:06:21 -0400,,,2012-10-10 18:40:06 -0400,,,
2483,1,101,false,,24,2012-10-10#8,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-10 19:18:14 -0400,2012-10-10 19:20:46 -0400,1,,2012-10-10 19:21:04 -0400,,,2012-10-10 19:20:34 -0400,,,
2532,1,8,false,,24,2012-10-18#56,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,true,,CashPayment,,,,,50.0,2,true,2012-10-20 12:06:31 -0400,2012-10-20 12:07:48 -0400,1,,2012-10-20 12:07:56 -0400,,false,2012-10-20 12:07:17 -0400,,,
2516,1,21,false,,24,2012-10-18#37,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-18 14:02:34 -0400,2012-10-18 14:02:57 -0400,1,,2012-10-18 14:10:09 -0400,,,2012-10-18 14:02:49 -0400,,,
2465,1,1,false,,16,2012-07-03#118921,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,,,,,,,,,,true,2012-10-06 19:43:42 -0400,2012-10-06 19:44:01 -0400,1,,2012-10-06 19:44:30 -0400,,,2012-10-06 19:43:50 -0400,,,
2505,1,21,false,,24,2012-10-10#20,delivery,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-17 20:17:26 -0400,2012-10-17 20:28:54 -0400,1,,2012-10-17 20:48:14 -0400,,,2012-10-17 20:28:48 -0400,,,
2526,1,21,true,,24,2012-10-18#50,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,true,,CashPayment,,00113574339,3rdParty,,,,true,2012-10-20 10:45:18 -0400,2012-10-20 10:59:16 -0400,9,,2012-10-20 11:00:32 -0400,,,2012-10-20 10:55:06 -0400,,,RADHAMES BRITO MELO
2473,1,29,false,,16,2012-07-03#118929,dinein,,,333.33,86.67,33.33,53.34,420.0,,,,,,,,,,,,,true,2012-10-06 20:27:06 -0400,2012-10-06 20:27:29 -0400,2,,2012-10-06 20:28:35 -0400,,,2012-10-06 20:27:22 -0400,,,
2519,1,21,false,,24,2012-10-18#40,delivery,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-18 14:13:38 -0400,2012-10-18 14:14:55 -0400,1,,2012-10-18 14:15:35 -0400,,,2012-10-18 14:14:49 -0400,,,
2461,1,1,false,,16,2012-07-03#118917,dinein,,,535.72,139.28,53.57,85.71,675.0,,,,,,,,,,,,,true,2012-10-06 19:15:10 -0400,2012-10-06 19:20:39 -0400,1,,2012-10-06 19:21:35 -0400,,,2012-10-06 19:16:08 -0400,,,
2515,1,21,false,,24,2012-10-18#34,delivery,,,317.46,82.54,31.75,50.79,400.0,,,,true,,,,,,,,,true,2012-10-18 13:48:14 -0400,2012-10-18 13:59:06 -0400,1,,2012-10-18 14:02:34 -0400,,,2012-10-18 13:59:00 -0400,,,
2498,1,8,true,,24,2012-10-10#14,dinein,,,317.46,82.54,31.75,50.79,400.0,,,,true,,,,,,,,,true,2012-10-12 20:45:25 -0400,2012-10-13 13:53:48 -0400,9,,2012-10-17 19:26:46 -0400,,true,2012-10-13 13:53:38 -0400,2,,
2469,1,1,false,,16,2012-07-03#118925,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,,,,,,,,,,true,2012-10-06 19:53:11 -0400,2012-10-06 19:54:20 -0400,2,,2012-10-06 19:54:40 -0400,,,2012-10-06 19:54:13 -0400,,,
2467,1,1,false,,16,2012-07-03#118923,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,,,,,,,,,,true,2012-10-06 19:50:08 -0400,2012-10-06 19:50:33 -0400,1,,2012-10-06 19:51:25 -0400,,,2012-10-06 19:50:25 -0400,,,
2501,1,8,false,,24,2012-10-10#16,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-17 19:41:36 -0400,2012-10-17 19:42:26 -0400,1,,2012-10-17 20:01:55 -0400,,,2012-10-17 19:42:21 -0400,,,
2468,1,1,false,,16,2012-07-03#118924,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,,,,,,,,,,true,2012-10-06 19:51:56 -0400,2012-10-06 19:52:28 -0400,2,,2012-10-06 19:52:55 -0400,,,2012-10-06 19:52:21 -0400,,,
2524,1,21,false,,24,2012-10-18#48,delivery,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,true,2012-10-20 10:06:49 -0400,2012-10-20 10:37:43 -0400,1,,2012-10-20 10:39:15 -0400,,,2012-10-20 10:37:35 -0400,,,
2497,1,8,false,,24,,dinein,,,158.73,41.27,15.87,25.4,200.0,,,,true,,,,,,,,,false,2012-10-12 20:44:08 -0400,2012-10-12 20:45:25 -0400,1,1,,,,2012-10-12 20:44:16 -0400,,,
2514,1,21,false,,24,2012-10-18#32,delivery,,,126.98,33.02,12.7,20.32,160.0,,,,true,,,,,,,,,true,2012-10-18 13:33:45 -0400,2012-10-18 13:35:35 -0400,1,,2012-10-18 13:48:14 -0400,,,2012-10-18 13:35:28 -0400,,,
2471,1,1,false,,16,2012-07-03#118927,dinein,,,126.98,33.02,12.7,20.32,160.0,,,,,,,,,,,,,true,2012-10-06 19:59:28 -0400,2012-10-06 20:00:58 -0400,2,,2012-10-06 20:01:20 -0400,,,2012-10-06 20:00:54 -0400,,,
2463,1,1,false,,16,2012-07-03#118919,pickup,,,126.98,33.02,12.7,20.32,160.0,,,,,,,,,,,,,true,2012-10-06 19:38:46 -0400,2012-10-06 19:39:51 -0400,2,,2012-10-06 19:40:08 -0400,,,2012-10-06 19:39:19 -0400,,,
2478,1,8,false,,24,2012-10-10#3,dinein,,,888.89,231.11,88.89,142.22,1120.0,,,,true,,,,,,,,,true,2012-10-10 18:27:43 -0400,2012-10-10 18:28:42 -0400,1,,2012-10-10 18:39:12 -0400,,,2012-10-10 18:28:36 -0400,,,
